"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"86",865.8,781.25,740.8,1021.6,822,825,703.2,609.4,825.2,831.2,674.8,797,728.4,959.4,699.8,756.4,662.8,762.6,809,665.4,731.2,696.8,681.2,681.2
"87",806,940.6,765.75,1015.8,884.2,868.8,753.2,984.6,925,934.2,869,1084.6,1012.6,1146.6,871.8,878,940.8,928,909.6,949.5,900.2,894.5,825,912.2
"88",606.2,743.8,553.2,629,596.6,659.4,600,671.6,594,640.5,687.5,665.8,668,612.4,644.5,656,625.2,677.8,675,581.2,628.75,703.333333333333,618.4,571.8
"89",703.2,653.4,527,681.2,615.8,599.8,546.4,570,609.4,703.4,553,581,590.6,568.8,599.8,687.75,515.5,596.8,600.2,531.2,523.25,518.8,574.5,590.4
"9",1197,1037.4,1318.8,1253.2,709.2,787.4,715,1051,758,959.4,898.5,1259.2,818.8,1077.8,1040.8,837.4,859.4,899.6,980.5,1172,759.6,1050.2,894.5,956.4
"90",777.25,891,699.8,681.2,753.2,794,712.4,621.6,855.75,712.6,772,712.2,756.6,640.25,615.8,722,662.4,800.2,636.75,609.4,606.4,696.4,678,675.2
"91",668.25,874.8,753.75,1021.8,719,738,699.25,772,625,749.75,898.5,672,759.2,915.8,997,956.6,659.4,718.6,968.6,859.4,628,724.8,703.2,1096.6
"92",709.6,847.5,863.25,812.8,743.8,750.2,734.2,975,784.6,703.2,996,825,712.6,631.4,631,697,599.8,687.4,565.6,731.6,653.4,871.8,640.6,743.6
"93",687.4,667.75,725,800.75,716,728,675.5,775,662.8,634.6,768.6,809.6,643.6,781.5,806.2,721.8,637.6,617.25,665.6,734.6,631.4,690.2,681,879.25
"94",656.4,562.333333333333,571.8,633,612.2,612.2,562.333333333333,646.8,593.6,587.6,581,584.4,656.2,641,590.8,693.4,578,594.333333333333,590.6,581,578,632.75,553.2,631.2
"95",868.8,804.75,952.8,1015.75,843.4,949.8,1000,903.4,800.75,771.8,856.4,1012.6,862.4,922,718.8,875,968.5,859.25,697,1112.8,971.8,722.5,730.75,893.8
"96",943.4,928,719.2,1031.4,812.2,1022,912.4,928.2,1090.4,734.25,722.2,699.8,746,726.5,784.4,865.8,784.2,718.75,1075.2,856.2,821.6,875,772,940.8
"97",697.4,768.8,737.8,659.2,687.6,660.25,632.75,575,594,586,606.2,656.2,652.75,675.2,650,625,709.4,625.2,618.8,648.5,659.4,681.4,671.6,668.8
"98",1105.25,656.25,808.5,1479.33333333333,664.25,699,1121.8,868.8,753,790.8,1059.2,1230.25,806.2,781.2,1190.4,1231.4,1037.8,856.6,1031,1331.4,706.2,815.6,962.4,1043
"99",1219,850,1040.6,906.6,900,1265.8,884.4,846.8,809.6,965.8,1209.4,831.2,818.6,820,637.6,962.6,752.8,1028,849.8,666.333333333333,853.2,1084.2,843.8,612.4
