"","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","HIGH_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.BA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.FA.LOW_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.HIGH_SOA.TARGET_PRIME_UNRELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_RELATED","LOW_LOAD.SYM.LOW_SOA.TARGET_PRIME_UNRELATED"
"24",1098.4,1220.2,1391.6,1017,1116.8,916.25,1457,923.6,1394.6,1357.25,1310.6,1413.4,920.25,920.4,1051.4,1051.2,854.6,1054.6,1067.4,1064,842.4,881.75,1007.8,960.8
"25",789.2,895.4,702.2,598,858,723.8,635.75,621,695.8,730.4,724,948.2,730,751.8,598.8,748.666666666667,711.4,661.8,655.4,661.6,623.8,904.8,624.2,695.6
"26",623.6,764.5,701.8,842.75,552.4,680,654.8,647.5,699,757,667.8,713.5,655.2,689.4,655.2,759.333333333333,708.8,686.4,602.2,736.4,655.4,627.2,533.6,620.25
"28",779.75,736.4,795.75,674.5,643,711.6,568,804.8,639.8,861.2,636.6,599.4,798.8,724,727,814.4,702,678.75,627,892.4,648.8,639.75,624,692.6
"29",725.75,885,889,815.25,733,810.8,845.4,1037.25,770.8,749,767.4,756.75,783.2,823.8,748.5,910,680,659,636.4,705.75,777,690.5,642.8,985.8
"3",1008,1060.6,1035.8,940,873.6,1194.8,776.5,908,942.6,885.25,932.6,1042.2,1017,1119.25,1032.6,823,905,1023.4,811.2,998.2,973.6,926.6,780.2,870.6
"30",936,1441.2,1141.8,1051.2,936.2,1388.5,989.2,920.4,1036,1022,714.8,723.8,908,1054.8,714.4,882.8,961,1207.6,867.2,905,791.75,1210.8,907.8,850.5
"31",1079.2,1158.25,876.6,1026.4,1007.6,964.2,985.8,1045.4,842.2,800.666666666667,795.6,886,1014.2,848,830,861,998.4,1007.6,920.4,811.2,986,914,1017.2,1029.33333333333
"32",982.8,948.6,1033,1154.5,935.8,1054.6,1238.8,1139,892.2,1185.4,1288.6,798.6,886.2,976.8,1123.25,1466.5,808.2,773.8,1011,1073.2,801.8,739.4,889.5,882.8
"33",870.4,908,659.25,753,827.4,727,777.2,739.4,979.6,760.25,767.2,852,727,773.8,851.8,780,801.6,752.2,706,764.4,776.8,761.6,786.4,705
"34",836,873.25,792.25,1135,730.2,852.666666666667,1070,994.5,920.2,992,836,1216.66666666667,767.4,881.75,1007.6,991.8,808.2,827,839.4,917.2,834.5,767.4,764,992.2
"35",798.6,975,1110.6,1661.5,1067,939.2,1232.6,1167,979.2,1101.6,1316.6,1113.6,1095.2,1141.8,1017,1051.6,964,854.8,1011.2,1148,967,846.25,955,1002.5
"36",791.75,689.6,683.2,667.4,783.2,720.8,789.4,647.5,705.4,631.75,664.2,611.4,658.2,683.2,783,802,652.2,624.2,690.25,751.6,711.6,736.2,764.2,633.4
"37",745.25,655,596.75,742.4,619.75,948.8,596,617.8,761.4,730.2,630.6,848.6,933,958.2,611.4,667.8,602.4,705.2,595.8,642.4,795.4,873.4,639.4,623.8
"38",769.666666666667,848.6,599.4,667.6,633.4,686.6,602,748.8,530.4,675,642.8,670.666666666667,721.75,739,677,661.2,674,614.6,561.6,611.6,659,717.6,583.6,658.2
"39",842.6,926.4,655.25,904.8,647.5,705.2,692.4,639.25,633.2,858,649,692.6,767.8,683.4,661,843,667.6,717.6,586.4,705,758,724,657.8,730
"4",729,977.666666666667,754.8,862,848.6,708.2,786.4,842.6,670.8,915.333333333333,748.8,830.75,689.8,764.25,779.6,795.6,683,667.6,733.4,708.2,670.8,820.4,811.2,723.6
"40",786.2,876.8,772.25,767.6,823.4,696.2,714.2,717.75,666.75,726.8,655.2,752.5,677.2,761.4,708.4,772.25,648.8,711.6,701.8,705.2,699,674.2,714.2,791.75
"41",1151.2,1001.6,2177.4,1070.4,1742.8,1192,1933.2,1307.2,1482.8,942.2,1938.4,1054.8,1424,1082.6,882.8,954.8,935.6,1104.6,1008,842.8,817.6,1010.8,883,995.2
"42",908,983,1223.2,1394.8,1198.2,973.4,1222.8,1033,1160.6,817.4,939,1314.25,1098,1007.8,985.6,936.25,929.8,923.4,1242,964.2,839.4,945.4,786,768
